Name,Weight,Id,Details,Price,Price per Kg,Promotion Discount,Promotion End Date,Image Url
Aceto Balsamico di Modena IGP U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/8383,"1 conf 50cl | 2,90 €/l","1,15","2,90",€0.30,10/12,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/8383/6E463CB0-0FBF-4B5B-9E53-1D47725CAA82_1_MEDIUM.Jpg
SUCCO DI LIME U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/76973,"1 conf 100ml | 4,50 €/l","0,45","4,50",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/76973/DB506F9E-86B9-4CB0-95BD-68BBC12EFFD1_1_MEDIUM.Jpg
CREMA ALL'ACETO BALSAMICO DI MODENA I.G.P. U! Confronta & Risparmia,,https://www.spesaonline.unes.it/p/7605,"1 conf 25cl | 7,96 €/l","1,99","7,96",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/7605/0D8B0009-4FC0-45D8-B296-DA6EDF59D110_1_MEDIUM.Jpg
Succo di Limone Italiano U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/71106,"1 conf 200ml | 2,45 €/l","0,49","2,45",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/71106/76AD535A-C41E-4589-A2C5-F4414245C7A8_1_MEDIUM.Jpg
Aceto di Vino Bianco U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/347351,"1 conf 100cl | 0,79 €/l","0,79","0,79",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/347351/09DBF17E-B034-4BA2-BD9B-531568BCFC39_1_MEDIUM.Jpg
Aceto di Vino Rosso U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/347350,"1 conf 100cl | 0,79 €/l","0,79","0,79",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/347350/773EB491-3028-469E-9302-78F9235E41A1_1_MEDIUM.Jpg
Sale Marino Iodato Grosso U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/400308,"1 conf 1kg | 0,69 €/kg","0,69","0,69",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/400308/ECF89478-7A87-4A2B-B474-82F008061B7F_1_MEDIUM.Jpg
Sale Marino Iodato Fino U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/400307,"1 conf 1kg | 0,69 €/kg","0,69","0,69",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/400307/DF1F2B62-532A-4F6E-851F-51B1FEB278A3_1_MEDIUM.Jpg
Spargisale Marino Iodato Fino U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/28999,"1 conf 250g | 2,76 €/kg","0,69","2,76",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/28999/00F91069-68E5-4810-80E5-0217C1F7C3A1_1_MEDIUM.Jpg
Fagioli Cannellini 3x400g U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/9568,"1 conf 720g | 2,06 €/kg","1,49","2,06",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/9568/F46F34C0-4036-42BA-A9DE-BD0317672AA7_1_MEDIUM.Jpg
Fagioli Borlotti 3x400g U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/9567,"1 conf 720g | 2,06 €/kg","1,49","2,06",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/9567/07F3D02C-9572-4D80-9D27-EDA72D6A1029_1_MEDIUM.Jpg
Fagioli Borlotti U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/9553,"1 conf 240g | 2,29 €/kg","0,55","2,29",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/9553/B8612949-A11D-4741-8D73-AF3CCB0A49C0_1_MEDIUM.Jpg
Fagioli Cannellini U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/9552,"1 conf 240g | 2,29 €/kg","0,55","2,29",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/9552/C7818427-52CE-43B8-BBD4-4EB54DA71A00_1_MEDIUM.Jpg
Fagioli Bianchi di Spagna,240 g,https://www.spesaonline.unes.it/p/9551,"1 conf 240g | 2,29 €/kg","0,55","2,29",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/9551/81267FAE-516E-427C-A9A2-A41A252C8048_1_MEDIUM.Jpg
Fagiolini Fini U! Confronta e RIsparmia,,https://www.spesaonline.unes.it/p/21721,"1 conf 220g | 4,95 €/kg","1,09","4,95",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/21721/3020E55E-E117-4829-9DD7-E9A5E8E6D378_1_MEDIUM.Jpg
Lenticchie,240 g,https://www.spesaonline.unes.it/p/9555,"1 conf 240g | 2,29 €/kg","0,55","2,29",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/9555/A2283EEA-06D5-4DD8-968A-B6D561F36299_1_MEDIUM.Jpg
Ceci U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/9554,"1 conf 240g | 2,29 €/kg","0,55","2,29",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/9554/9F5D59E7-E7F8-476E-8399-354FB7894729_1_MEDIUM.Jpg
Lenticchie 3x400g U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/40743,"1 conf 720g | 1,37 €/kg","0,99","1,37",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/40743/B0DDB70C-456A-4CE2-92DC-25515BAB956B_1_MEDIUM.Jpg
Mais Dolce U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/9558,"1 conf 285g | 3,82 €/kg","1,09","3,82",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/9558/D1C57F97-291B-4DD2-8599-FE1D998C75E3_1_MEDIUM.Jpg
Piselli Fini U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/9557,"1 conf 270g | 3,66 €/kg","0,99","3,66",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/9557/E7CC22C7-A506-423C-92A7-591712A8D323_1_MEDIUM.Jpg
Piselli Medi U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/9556,"1 conf 270g | 3,66 €/kg","0,79","3,66",€0.20,10/12,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/9556/557E3269-E84C-4F0F-B9E9-B6F2B0C44AEE_1_MEDIUM.Jpg
Piselli Medio Fini 3x160G U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/51557,"1 conf 420g | 4,73 €/kg","1,99","4,73",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/51557/0DE37939-1915-4B4E-9BC7-06B01941FF97_1_MEDIUM.Jpg
Mais Dolce U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/47976,"1 conf 420g | 5,45 €/kg","2,29","5,45",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/47976/493F7F61-ABC3-4E6D-AA11-C0C78580E4F3_1_MEDIUM.Jpg
Patatine Stick U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/85904,"1 conf 150g | 11,26 €/kg","1,69","11,26",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/85904/C028AFC0-7317-463C-96E6-BD0C82F6E20B_1_MEDIUM.Jpg
Nacho Chips Salati U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/65400,"1 conf 200g | 5,95 €/kg","1,19","5,95",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/65400/9E9769CA-DB15-4096-9D62-B80BF0817DE5_1_MEDIUM.Jpg
Nacho Chips gusto Chili U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/65397,"1 conf 200g | 5,95 €/kg","1,19","5,95",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/65397/2181229B-C7DC-4A12-A476-3AB3CB9386A4_1_MEDIUM.Jpg
Snack Gusto Bacon U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/58342,"1 conf 75g | 14,53 €/kg","1,09","14,53",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/58342/DB1C66FC-0244-4EF5-8E8D-DEE01F2C1BA6_1_MEDIUM.Jpg
Patatine Classiche U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/55635,"1 conf 150g | 12,60 €/kg","1,89","12,60",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/55635/397F86FF-8AD2-451E-8D7B-106CDAE9BF75_1_MEDIUM.Jpg
Anelli di Mais U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/51022,"1 conf 120g | 5,41 €/kg","0,65","5,41",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/51022/584DB899-BAA8-4A7B-9816-66D507258E64_1_MEDIUM.Jpg
Patatine Classiche U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/44543,"1 conf 100g | 8,50 €/kg","0,85","8,50",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/44543/4EC71070-D719-42AC-BA45-D590611071CE_1_MEDIUM.Jpg
Patatine Classiche U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/40601,"1 conf 180g | 7,16 €/kg","1,29","7,16",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/40601/64593675-99FB-4075-A38F-D494A39B3DB9_1_MEDIUM.Jpg
Patatine Rigate U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/40600,"1 conf 180g | 7,16 €/kg","1,29","7,16",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/40600/B32946FC-3B8E-4E7B-93E4-EDB91C2E65A8_1_MEDIUM.Jpg
Pop Corn U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/23344,"1 conf 100g | 6,90 €/kg","0,69","6,90",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/23344/F07DDB53-F7FC-488A-BF20-67034B83AC6D_1_MEDIUM.Jpg
White Chips U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/23343,"1 conf 160g | 7,43 €/kg","1,19","7,43",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/23343/B844A9F1-EBEE-4540-8207-1015ABBDC2E8_1_MEDIUM.Jpg
Cornetti di Mais U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/23342,"1 conf 100g | 8,90 €/kg","0,89","8,90",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/23342/F5C49566-7FAD-4535-92AA-841AEF31DDD0_1_MEDIUM.Jpg
Sfogliatine Croccanti alla Paprika U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/84380,"1 conf 70g | 16,42 €/kg","1,15","16,42",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/84380/3D7BB4FD-8A47-4055-9596-35FDCED4BA83_1_MEDIUM.Jpg
Sfogliatine Croccanti al Rosmarino U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/84379,"1 conf 70g | 16,42 €/kg","1,15","16,42",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/84379/2C20FD3F-D48B-4982-8148-A286EBAE9403_1_MEDIUM.Jpg
Sfogliatine Croccanti di Grano Duro U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/84378,"1 conf 70g | 16,42 €/kg","1,15","16,42",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/84378/2D713619-C7C7-48E3-AC98-A23E2DB02F0F_1_MEDIUM.Jpg
Maionese U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/57173,"1 conf 240g | 5,37 €/kg","1,29","5,37",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/57173/033F6B51-E908-4CDB-948B-3A75277F5AF3_1_MEDIUM.Jpg
Maionese U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/55398,"1 conf 247g | 6,03 €/kg","1,49","6,03",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/55398/69239C3F-0343-4022-9AEE-78A5FFEE7A8C_1_MEDIUM.Jpg
Senape U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/15820,"1 conf 270g | 5,74 €/kg","1,55","5,74",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/15820/BCF7D99C-7C8C-4E66-B388-0A4BD89FF0E6_1_MEDIUM.Jpg
Maionese U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/15819,"1 conf 143g | 6,92 €/kg","0,99","6,92",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/15819/C36AA02A-F1B9-4E8E-89A8-CC0053F4C8CA_1_MEDIUM.Jpg
Maionese U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/15814,"1 conf 480g | 5,18 €/kg","2,49","5,18",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/15814/F8AF4B08-9FC1-422A-806E-33838C04976F_1_MEDIUM.Jpg
